Occupation,Age,2022,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 
Managers & Administrators (Including Working Proprietors),15-19,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.1,0.,0.,0.,0.,0.,0.2
Professionals,15-19,0.2,0.2,0.1,0.3,0.3,0.2,0.3,0.2,0.2,0.4,0.4,0.3,0.8,0.,0.4,0.6,0.1,0.3,0.2,0.2,0.4,0.2
Associate Professionals & Technicians,15-19,2.9,2.2,1.7,1.6,2.,1.2,2.1,2.1,1.3,1.6,2.3,1.3,2.4,1.4,2.2,2.,0.7,1.2,1.1,1.1,1.7,1.1
Clerical Support Workers,15-19,3.4,5.6,3.5,5.3,5.9,4.8,4.1,6.2,4.1,4.7,5.5,4.9,5.3,4.2,5.5,4.3,2.3,3.3,2.6,2.9,5.,5.
Service & Sales Workers,15-19,6.8,6.6,6.1,8.7,9.4,8.5,9.9,9.8,8.2,8.6,8.5,8.5,9.9,7.9,8.7,10.3,6.1,8.5,7.2,7.2,8.3,6.8
Craftsmen & Related Trade Workers,15-19,0.5,0.1,0.4,0.1,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.1,0.2,0.2,0.3,0.,0.2,0.3,0.3,0.5,0.6,0.3
Plant & Machine Operators & Assemblers,15-19,1.1,0.5,0.8,0.7,0.4,0.2,0.2,0.3,0.3,0.4,0.2,0.2,0.6,0.3,0.4,0.4,0.6,0.8,0.6,0.6,0.4,0.8
"Cleaners, Labourers & Related Workers",15-19,1.7,2.9,1.8,1.9,1.5,1.7,1.9,2.2,2.,1.6,1.8,2.1,1.8,1.7,1.8,1.5,0.8,1.5,1.7,1.1,1.6,0.9
Others,15-19,10.2,8.9,12.,14.1,15.3,15.8,16.,15.6,12.2,11.3,11.9,13.6,16.,11.8,12.,14.1,9.5,9.3,9.5,8.6,12.5,10.7
Managers & Administrators (Including Working Proprietors),20-24,1.1,1.1,0.5,0.9,0.7,1.,0.9,1.6,1.,1.7,2.1,1.9,2.6,1.7,2.,2.5,1.4,1.5,1.5,1.3,2.5,3.2
Professionals,20-24,14.7,19.,11.1,15.6,14.1,12.6,13.3,14.9,13.9,13.1,17.6,18.,19.9,15.,18.6,16.1,14.2,13.1,13.,12.7,17.,16.2
Associate Professionals & Technicians,20-24,25.2,24.5,25.8,28.4,28.6,27.9,30.9,31.9,24.8,23.2,25.7,24.2,23.1,22.2,23.2,22.5,22.2,19.6,19.2,17.8,21.7,22.6
Clerical Support Workers,20-24,13.2,21.4,19.3,21.9,26.6,24.8,28.3,30.6,31.7,30.9,32.4,30.4,28.2,24.9,27.3,25.4,20.8,22.3,19.3,20.6,23.8,22.8
Service & Sales Workers,20-24,13.3,16.5,17.2,21.2,21.1,21.5,24.9,24.2,23.7,22.,24.9,23.,22.8,19.6,20.,21.,23.2,18.6,18.1,17.,18.2,17.9
Craftsmen & Related Trade Workers,20-24,1.9,1.8,2.3,2.1,1.8,2.5,3.1,3.1,2.2,2.4,2.2,1.8,2.1,1.1,2.,2.8,2.9,2.3,2.5,3.,3.1,3.8
Plant & Machine Operators & Assemblers,20-24,2.8,4.1,3.7,3.1,2.8,3.7,2.7,2.2,2.5,2.5,2.9,3.,2.9,3.3,2.4,3.,3.6,3.5,3.1,3.8,3.,4.5
"Cleaners, Labourers & Related Workers",20-24,5.,5.2,4.1,3.9,4.2,3.8,3.6,3.6,4.5,3.2,4.1,3.8,3.2,3.3,2.7,2.7,2.7,3.9,2.7,2.5,2.7,2.9
Others,20-24,28.,30.4,31.8,34.2,36.,37.4,39.5,37.9,42.4,43.,44.2,41.1,37.4,36.4,34.9,31.9,27.2,42.2,42.9,39.6,38.5,28.2
Managers & Administrators (Including Working Proprietors),25-29,12.,12.3,9.5,8.7,9.2,8.6,9.4,12.1,11.8,13.3,15.3,18.8,22.8,15.8,15.6,15.6,11.8,11.7,15.,15.,17.,18.5
Professionals,25-29,76.5,88.9,76.4,77.4,69.2,72.3,72.8,66.4,64.3,60.2,64.6,62.2,73.4,68.,65.7,61.,61.5,53.6,58.6,53.3,57.2,53.6
Associate Professionals & Technicians,25-29,58.7,71.9,81.1,76.1,76.3,76.,77.3,67.7,63.2,55.9,51.4,56.,46.3,53.3,50.5,51.,50.6,50.3,47.6,48.8,50.,50.8
Clerical Support Workers,25-29,15.4,18.7,21.9,21.4,25.7,22.7,25.9,24.5,28.8,31.1,29.2,27.2,27.6,27.9,27.8,28.2,27.6,31.6,31.5,34.4,38.5,36.8
Service & Sales Workers,25-29,16.5,20.,22.6,20.6,23.8,20.1,23.3,21.7,20.7,23.,22.1,22.8,23.1,21.4,19.2,22.9,26.1,20.6,20.1,19.6,20.2,21.
Craftsmen & Related Trade Workers,25-29,1.9,3.2,3.9,4.1,4.,3.7,4.3,4.2,5.2,3.3,4.,4.8,3.9,4.,4.3,4.5,7.3,5.4,5.8,6.8,6.9,10.
Plant & Machine Operators & Assemblers,25-29,4.5,5.1,6.7,6.9,5.9,5.5,3.7,4.2,4.1,4.2,4.3,5.1,5.1,5.3,4.6,5.6,7.,6.6,7.4,9.4,10.5,11.3
"Cleaners, Labourers & Related Workers",25-29,3.,4.2,3.4,4.3,4.2,4.1,4.4,3.,2.5,3.4,3.4,2.9,3.6,3.7,3.4,4.1,2.8,4.5,4.1,4.5,4.7,4.8
Others,25-29,4.6,4.9,5.1,5.2,5.3,4.2,5.5,4.3,4.3,3.8,3.3,4.7,4.9,4.7,6.8,6.9,7.6,9.8,8.,6.1,4.6,5.4
Managers & Administrators (Including Working Proprietors),30-34,41.1,38.9,32.9,32.,29.6,30.8,35.,36.5,35.7,39.1,41.8,42.9,43.5,39.8,40.7,37.8,32.7,33.6,35.4,34.9,35.2,36.3
Professionals,30-34,113.1,116.7,97.1,82.,80.,84.1,81.1,80.8,79.9,76.7,76.6,77.1,80.6,78.5,73.8,70.5,65.,58.6,59.1,57.4,52.9,45.2
Associate Professionals & Technicians,30-34,71.7,75.7,68.4,72.8,69.2,63.6,65.1,58.4,61.3,55.6,53.2,54.,49.7,51.6,53.4,53.1,50.6,51.5,47.2,44.4,44.6,43.6
Clerical Support Workers,30-34,18.9,22.3,18.2,21.6,19.8,23.1,21.1,25.7,25.9,29.2,27.8,27.4,29.9,26.6,27.,31.9,34.,33.9,37.1,37.,36.,35.3
Service & Sales Workers,30-34,19.3,22.,20.,20.7,19.6,18.8,19.2,19.1,21.7,23.1,21.6,21.6,21.8,19.7,20.3,19.3,25.3,22.5,21.1,22.2,21.9,20.4
Craftsmen & Related Trade Workers,30-34,1.6,3.8,2.1,3.8,3.7,3.4,4.1,4.1,4.9,4.3,4.5,4.9,5.8,5.7,6.2,6.8,11.3,10.4,10.2,10.8,11.7,13.7
Plant & Machine Operators & Assemblers,30-34,4.9,7.5,7.1,6.7,5.8,5.7,5.4,5.2,4.9,5.3,5.6,6.5,6.3,7.6,7.,9.8,13.7,13.4,14.7,14.4,17.6,19.2
"Cleaners, Labourers & Related Workers",30-34,4.7,4.2,4.,3.8,3.5,4.4,4.1,3.8,4.4,4.5,4.3,3.7,4.5,4.3,3.9,5.1,4.2,5.9,5.8,5.3,6.2,6.8
Others,30-34,3.4,2.8,2.3,2.6,2.7,2.1,1.8,2.9,3.4,3.2,2.8,3.2,3.6,3.6,2.9,3.5,2.8,2.7,2.5,2.,2.2,2.4
Managers & Administrators (Including Working Proprietors),35-39,56.9,55.1,59.,57.,52.4,52.2,51.7,56.,55.5,58.8,60.3,66.4,65.8,56.5,57.3,51.4,43.9,44.4,47.4,48.8,49.1,45.9
Professionals,35-39,98.9,96.9,82.5,78.5,78.2,80.2,75.8,75.4,66.7,68.8,68.3,65.8,69.,64.2,63.,57.3,45.1,43.4,42.1,41.8,39.,30.3
Associate Professionals & Technicians,35-39,62.,61.9,60.1,62.6,65.,64.2,57.3,59.7,59.2,54.1,51.4,52.4,46.5,50.4,49.8,44.6,40.5,41.5,39.2,38.4,38.6,38.4
Clerical Support Workers,35-39,19.3,21.,18.,21.4,23.6,24.7,22.3,26.8,25.6,27.3,30.6,29.5,32.,31.4,32.2,30.2,34.7,35.3,36.1,34.1,35.2,33.
Service & Sales Workers,35-39,20.3,20.8,22.7,21.,22.,22.7,20.8,21.5,20.5,22.1,23.6,20.5,24.3,22.6,22.4,21.3,28.9,20.6,23.6,25.6,26.3,23.6
Craftsmen & Related Trade Workers,35-39,2.8,3.7,3.4,4.,4.8,4.9,5.9,6.2,5.4,5.8,7.9,7.2,8.6,9.,8.6,10.3,14.9,12.1,14.1,18.2,17.5,20.2
Plant & Machine Operators & Assemblers,35-39,6.7,7.8,9.2,7.9,8.3,8.2,8.4,6.7,7.,9.,9.5,10.3,11.9,13.,13.1,15.6,21.8,19.9,22.3,25.5,27.1,29.4
"Cleaners, Labourers & Related Workers",35-39,6.2,4.7,4.3,5.2,5.7,6.3,5.4,5.7,6.2,5.,5.9,6.3,7.2,7.,7.9,8.9,7.5,10.2,11.9,10.7,12.7,11.5
Others,35-39,2.1,2.2,2.5,2.1,3.2,2.6,2.7,3.,2.6,2.8,1.4,1.9,1.9,1.8,2.4,2.1,2.2,1.8,2.3,2.,2.6,2.9
Managers & Administrators (Including Working Proprietors),40-44,72.9,66.,66.7,65.5,66.8,68.8,65.,67.5,65.6,68.,66.2,66.2,62.2,58.,55.2,53.9,47.4,50.3,45.5,45.4,46.6,44.1
Professionals,40-44,90.8,87.1,75.8,68.5,69.4,67.8,60.7,61.4,55.5,52.4,51.8,46.8,44.9,44.,41.7,39.3,31.5,34.1,28.5,27.8,26.4,20.
Associate Professionals & Technicians,40-44,63.8,56.5,53.5,57.4,59.6,53.6,55.,52.8,51.5,47.7,46.,43.7,39.1,40.3,42.5,38.,32.1,33.2,34.5,30.9,31.,31.8
Clerical Support Workers,40-44,20.7,18.7,21.,23.8,25.5,28.5,27.,30.8,29.,34.,31.8,30.7,30.1,32.6,34.5,33.,34.,32.,33.7,32.8,34.2,29.4
Service & Sales Workers,40-44,23.6,19.4,19.7,24.1,23.,22.9,23.9,24.3,23.2,23.6,26.,24.4,24.4,27.,27.7,28.3,33.9,29.7,26.2,29.1,27.2,26.3
Craftsmen & Related Trade Workers,40-44,4.5,3.4,4.6,4.4,5.5,7.7,6.,8.5,8.,9.6,10.4,9.9,11.5,12.4,12.6,14.6,22.7,18.5,19.,21.1,22.7,20.8
Plant & Machine Operators & Assemblers,40-44,8.3,8.9,10.4,10.4,11.6,12.1,12.6,12.2,13.4,11.7,14.9,15.5,19.3,22.1,23.3,24.8,30.5,28.8,31.,34.4,35.,35.5
"Cleaners, Labourers & Related Workers",40-44,5.9,5.9,6.3,6.,8.1,7.9,8.9,9.3,9.3,10.,9.8,10.7,13.1,13.3,14.4,16.,12.4,17.4,18.2,16.3,17.2,15.6
Others,40-44,2.2,2.6,1.3,1.8,1.5,2.2,1.3,1.5,1.8,1.5,1.5,1.4,1.6,1.5,1.7,1.5,2.7,2.7,2.2,1.5,1.9,2.1
Managers & Administrators (Including Working Proprietors),45-49,73.,64.7,69.9,69.6,63.4,64.7,60.1,61.2,59.7,61.7,59.8,62.8,56.2,52.5,51.1,46.,39.1,44.1,41.,37.6,37.5,32.9
Professionals,45-49,80.6,64.3,63.4,55.4,52.5,50.,45.1,40.,40.6,38.1,37.7,33.1,35.2,29.1,31.5,27.5,19.,19.6,19.9,17.9,16.5,13.1
Associate Professionals & Technicians,45-49,59.6,48.4,50.4,55.8,52.7,52.2,46.5,43.3,42.1,40.7,38.6,36.5,36.4,37.9,35.7,33.8,26.7,30.7,25.1,25.2,25.7,23.3
Clerical Support Workers,45-49,26.3,24.5,22.6,28.2,26.7,30.2,29.8,32.,30.9,33.3,34.7,31.4,33.,32.3,31.7,32.6,30.6,28.6,25.7,28.1,24.,21.9
Service & Sales Workers,45-49,25.7,20.2,24.6,27.4,28.3,26.8,29.1,28.,26.9,31.,34.5,29.9,30.2,29.4,30.7,32.,34.7,27.7,26.6,25.3,27.7,24.6
Craftsmen & Related Trade Workers,45-49,5.3,6.,6.7,7.4,7.9,9.,8.9,11.6,10.1,13.,14.5,16.9,16.6,16.8,19.,18.9,20.4,18.9,19.4,19.5,16.7,17.4
Plant & Machine Operators & Assemblers,45-49,13.5,13.7,17.4,18.,16.5,18.1,17.1,18.4,17.8,23.,23.1,28.6,26.7,28.2,30.9,33.1,33.9,33.8,34.7,32.9,34.6,33.3
"Cleaners, Labourers & Related Workers",45-49,10.,9.6,10.,10.7,12.2,12.1,13.4,15.,16.1,16.,16.9,19.6,22.9,21.2,21.7,23.7,17.6,21.9,21.9,19.9,19.1,17.8
Others,45-49,1.7,0.9,1.3,1.3,1.6,1.,1.1,1.5,1.6,1.5,1.6,2.,1.6,1.9,1.5,1.8,2.1,1.6,1.5,1.,1.4,1.4
Managers & Administrators (Including Working Proprietors),50-54,58.7,49.3,51.3,51.6,49.3,48.6,46.5,50.7,51.,51.3,50.5,47.8,45.1,40.9,38.4,36.9,28.5,28.4,30.6,27.7,26.1,22.5
Professionals,50-54,54.9,42.2,42.2,40.3,35.5,32.5,31.7,29.6,27.9,26.8,23.7,21.5,23.4,20.5,20.,17.,12.,13.7,12.7,12.7,13.5,10.3
Associate Professionals & Technicians,50-54,49.,39.8,43.2,42.8,43.4,40.,41.5,38.3,37.,35.4,30.1,31.9,29.5,27.9,26.7,24.2,18.6,18.4,16.,18.3,17.,14.8
Clerical Support Workers,50-54,23.,21.4,24.7,29.6,30.9,30.6,32.4,34.6,33.8,32.7,32.1,30.8,26.7,29.7,27.2,24.2,21.1,19.9,19.9,15.9,16.1,12.6
Service & Sales Workers,50-54,23.9,23.5,27.8,31.7,34.7,30.1,32.5,33.9,31.6,29.5,31.8,31.1,29.6,26.8,29.1,30.3,29.5,24.7,24.,23.6,22.9,20.4
Craftsmen & Related Trade Workers,50-54,5.9,6.5,8.5,10.9,11.9,13.6,15.5,15.1,14.1,15.8,17.5,16.3,15.2,17.4,18.1,17.5,16.7,15.5,15.1,14.6,12.3,11.9
Plant & Machine Operators & Assemblers,50-54,16.9,16.1,22.,22.4,23.8,26.4,30.,28.6,30.5,32.4,30.3,32.8,32.1,32.1,31.3,32.,30.,29.8,27.5,27.2,25.5,22.4
"Cleaners, Labourers & Related Workers",50-54,14.6,13.8,16.4,17.,20.,21.7,22.2,22.9,27.4,23.3,23.9,25.2,25.5,25.4,26.4,27.1,17.6,21.6,21.3,19.9,20.6,17.4
Others,50-54,1.1,0.4,1.,0.8,1.5,0.9,1.5,1.7,1.4,0.8,1.2,1.1,0.5,1.2,0.7,0.7,1.,0.7,0.6,0.7,0.5,0.6
Managers & Administrators (Including Working Proprietors),55-59,44.4,36.6,38.3,38.,34.3,36.,34.2,38.5,35.5,33.3,31.6,31.5,30.3,25.4,24.7,21.7,16.2,16.9,15.6,12.,9.1,9.3
Professionals,55-59,35.2,29.6,28.8,26.7,26.,19.5,20.2,18.7,16.9,19.8,15.6,12.5,15.8,12.6,12.6,13.2,7.3,9.4,8.8,8.4,6.3,5.1
Associate Professionals & Technicians,55-59,42.6,35.5,34.1,34.4,34.3,29.8,33.,28.4,27.1,26.4,24.3,22.8,19.,15.9,15.5,13.8,9.6,10.2,8.,6.7,5.2,5.
Clerical Support Workers,55-59,26.5,26.5,27.2,27.6,25.3,26.5,26.6,28.6,30.7,26.,23.6,22.1,18.1,16.2,14.6,14.4,10.9,9.7,9.1,7.4,4.9,4.6
Service & Sales Workers,55-59,29.8,28.6,31.4,30.9,29.9,26.7,32.,28.4,27.8,24.9,25.6,24.6,23.9,20.6,20.6,20.5,20.4,16.8,14.1,13.9,11.2,10.4
Craftsmen & Related Trade Workers,55-59,8.8,9.5,11.4,12.9,12.,12.9,13.1,14.3,15.1,13.8,15.1,13.8,12.9,11.8,10.9,12.9,10.1,8.9,7.6,6.3,5.4,5.5
Plant & Machine Operators & Assemblers,55-59,23.1,25.1,26.8,28.6,28.,28.5,29.2,29.6,29.,27.6,29.,28.7,26.4,25.2,24.3,23.3,18.2,16.8,15.,13.,10.5,10.6
"Cleaners, Labourers & Related Workers",55-59,23.5,21.5,25.4,27.3,26.4,24.4,29.4,29.3,30.7,26.9,26.1,25.5,25.8,22.7,23.,23.3,16.,17.5,14.6,15.2,11.8,11.1
Others,55-59,0.8,0.9,1.2,1.3,1.1,1.1,0.8,0.7,0.9,0.4,0.5,0.4,0.6,0.4,0.2,0.4,0.4,0.2,0.1,0.4,0.4,0.2
Managers & Administrators (Including Working Proprietors),60-64,25.,28.8,21.5,24.,21.1,22.2,20.4,19.3,20.9,20.6,19.1,17.4,15.9,13.1,11.8,9.1,5.8,6.2,6.8,6.7,5.6,4.6
Professionals,60-64,21.9,19.,15.7,13.5,14.2,10.9,10.7,10.3,10.,10.,9.,7.,8.4,6.2,4.7,4.6,1.9,2.8,2.8,3.1,2.8,1.8
Associate Professionals & Technicians,60-64,28.2,28.6,23.9,20.4,22.3,18.2,20.2,17.8,16.8,13.7,12.5,9.8,8.,6.3,6.1,5.,2.9,2.4,2.3,2.2,1.9,2.1
Clerical Support Workers,60-64,23.8,23.7,22.6,20.6,17.6,19.3,17.,18.5,17.3,15.4,12.1,10.6,9.1,7.5,6.7,4.5,2.8,2.1,2.9,2.7,2.8,2.3
Service & Sales Workers,60-64,26.5,27.6,28.5,26.,25.2,25.4,24.9,21.9,21.1,19.5,19.4,17.2,14.1,14.2,11.,10.2,8.9,8.,9.1,8.2,8.4,6.7
Craftsmen & Related Trade Workers,60-64,10.4,9.8,9.6,9.6,10.,10.8,10.7,10.,10.5,8.6,8.6,9.1,6.2,7.1,6.1,5.,2.9,3.2,2.6,2.9,3.9,2.5
Plant & Machine Operators & Assemblers,60-64,26.4,25.5,25.7,25.2,26.5,25.4,24.8,24.,23.3,18.5,19.,17.8,15.2,14.3,13.3,10.2,7.,7.4,6.5,6.8,6.9,6.2
"Cleaners, Labourers & Related Workers",60-64,30.2,28.,25.4,26.3,28.3,28.4,29.3,26.9,26.2,25.6,23.5,21.3,18.1,18.2,15.7,15.3,8.8,10.9,10.9,10.3,9.9,8.1
Others,60-64,0.7,1.1,0.8,0.4,0.5,0.7,0.7,0.4,0.1,0.3,0.2,0.1,0.4,0.3,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1
Managers & Administrators (Including Working Proprietors),65+,22.7,24.8,18.7,17.6,14.9,16.,14.2,12.5,14.7,12.7,12.2,11.3,7.9,7.1,6.5,6.2,4.8,5.,4.6,3.9,4.4,3.9
Professionals,65+,14.,13.7,11.1,11.3,9.9,7.6,8.3,6.5,7.2,5.4,4.6,4.1,4.4,3.7,2.6,2.4,1.3,1.4,1.3,0.9,1.,0.8
Associate Professionals & Technicians,65+,22.,20.7,16.,15.6,11.5,9.4,9.2,8.,7.1,5.2,4.9,4.6,3.3,2.6,2.2,1.4,1.1,0.8,0.7,0.6,0.8,0.9
Clerical Support Workers,65+,21.3,19.7,16.6,15.9,13.3,12.8,10.5,9.4,10.6,7.1,5.8,4.2,3.6,3.3,2.5,2.5,1.9,1.7,1.4,1.9,1.5,1.2
Service & Sales Workers,65+,35.6,34.,31.6,25.4,25.7,24.4,21.8,18.8,18.8,17.4,14.5,11.2,10.5,9.8,9.5,9.3,7.5,5.9,6.7,7.1,8.3,6.6
Craftsmen & Related Trade Workers,65+,9.5,10.1,9.6,8.6,8.,7.1,7.1,6.4,6.5,5.2,5.5,4.5,3.5,3.2,2.7,2.1,1.6,1.7,1.3,1.5,1.6,1.3
Plant & Machine Operators & Assemblers,65+,27.4,22.7,21.9,21.4,18.3,17.8,16.9,14.7,13.,12.3,9.9,9.1,6.2,7.,6.6,6.1,3.5,3.5,3.7,3.2,2.5,2.7
"Cleaners, Labourers & Related Workers",65+,53.8,51.4,48.5,43.,42.4,45.6,38.1,38.6,36.6,30.6,25.6,24.8,20.,20.2,17.7,16.,8.8,8.6,10.8,9.2,7.9,6.8
Others,65+,1.1,1.4,1.1,0.9,1.,0.9,0.7,0.5,0.1,0.2,0.1,0.,0.2,0.1,0.1,0.,0.1,0.,0.1,0.,0.1,0.
,,,,,,,,,,,,,,,,,,,,,,,
Managers & Administrators (Including Working Proprietors),,,,,,,,,,,,,,,,,,,,,,,
Professionals,,,,,,,,,,,,,,,,,,,,,,,
Associate Professionals & Technicians,,,,,,,,,,,,,,,,,,,,,,,
Clerical Support Workers,,,,,,,,,,,,,,,,,,,,,,,
Service & Sales Workers,,,,,,,,,,,,,,,,,,,,,,,
Craftsmen & Related Trade Workers,,,,,,,,,,,,,,,,,,,,,,,
Plant & Machine Operators & Assemblers,,,,,,,,,,,,,,,,,,,,,,,
"Cleaners, Labourers & Related Workers",,,,,,,,,,,,,,,,,,,,,,,
Others,,,,,,,,,,,,,,,,,,,,,,,
Managers & Administrators (Including Working Proprietors),,,,,,,,,,,,,,,,,,,,,,,
Professionals,,,,,,,,,,,,,,,,,,,,,,,
Associate Professionals & Technicians,,,,,,,,,,,,,,,,,,,,,,,
Clerical Support Workers,,,,,,,,,,,,,,,,,,,,,,,
Service & Sales Workers,,,,,,,,,,,,,,,,,,,,,,,
Craftsmen & Related Trade Workers,,,,,,,,,,,,,,,,,,,,,,,
Plant & Machine Operators & Assemblers,,,,,,,,,,,,,,,,,,,,,,,
"Cleaners, Labourers & Related Workers",,,,,,,,,,,,,,,,,,,,,,,
Others,,,,,,,,,,,,,,,,,,,,,,,
Managers & Administrators (Including Working Proprietors),,,,,,,,,,,,,,,,,,,,,,,
Professionals,,,,,,,,,,,,,,,,,,,,,,,
Associate Professionals & Technicians,,,,,,,,,,,,,,,,,,,,,,,
Clerical Support Workers,,,,,,,,,,,,,,,,,,,,,,,
Service & Sales Workers,,,,,,,,,,,,,,,,,,,,,,,
Craftsmen & Related Trade Workers,,,,,,,,,,,,,,,,,,,,,,,
Plant & Machine Operators & Assemblers,,,,,,,,,,,,,,,,,,,,,,,
"Cleaners, Labourers & Related Workers",,,,,,,,,,,,,,,,,,,,,,,
Others,,,,,,,,,,,,,,,,,,,,,,,
Managers & Administrators (Including Working Proprietors),,,,,,,,,,,,,,,,,,,,,,,
Professionals,,,,,,,,,,,,,,,,,,,,,,,
Associate Professionals & Technicians,,,,,,,,,,,,,,,,,,,,,,,
Clerical Support Workers,,,,,,,,,,,,,,,,,,,,,,,
Service & Sales Workers,,,,,,,,,,,,,,,,,,,,,,,
Craftsmen & Related Trade Workers,,,,,,,,,,,,,,,,,,,,,,,
Plant & Machine Operators & Assemblers,,,,,,,,,,,,,,,,,,,,,,,
"Cleaners, Labourers & Related Workers",,,,,,,,,,,,,,,,,,,,,,,
Others,,,,,,,,,,,,,,,,,,,,,,,
