Occupation,Age,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 
Managers & Administrators (Including Working Proprietors),15-19,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.1,0.,0.,0.,0.,0.,0.2
Professionals,15-19,0.1,0.1,0.1,0.2,0.3,0.1,0.,0.1,0.2,0.3,0.3,0.2,0.6,0.,0.3,0.4,0.1,0.2,0.2,0.2,0.2,0.1
Associate Professionals & Technicians,15-19,1.9,1.4,1,1.1,1.3,0.8,1.3,1.3,0.9,1.4,1.6,1.1,2,1,1.9,1.7,0.7,0.9,1,0.9,1.3,1
Clerical Support Workers,15-19,2.2,4,2.3,3.3,3.7,3.1,3.1,4.5,3.2,3.4,4.5,3.5,4.6,3.5,4.6,3.4,2,2.6,2,2.4,4.5,4.7
Service & Sales Workers,15-19,4.5,4.2,3.7,5.8,5.8,5.4,7,6.7,4.7,5.4,5.4,5.1,6,5.1,5.1,6.9,4.3,6.1,4.8,4.7,5.1,3.8
Craftsmen & Related Trade Workers,15-19,0.1,0.,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.,0.,0.1,0.,0.,0.,0.1,0.1,0.1,0.1,0.,0.1
Plant & Machine Operators & Assemblers,15-19,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.,0.,0.,0.1,0.1,0.1,0.4,0.6,0.3,0.4,0.2,0.5
"Cleaners, Labourers & Related Workers",15-19,0.6,1.3,0.7,1.3,0.6,0.6,1,1.1,0.9,0.6,0.7,0.7,0.6,0.8,0.5,0.4,0.3,0.5,0.7,0.2,0.3,0.3
Others,15-19,0.,0.,0.,0.1,0.1,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.1,0.1
Managers & Administrators (Including Working Proprietors),20-24,0.7,0.7,0.4,0.6,0.6,0.7,0.4,0.9,0.4,1.1,1.5,1.4,1.4,1,1,1.6,0.9,0.8,1.1,0.9,1.7,2
Professionals,20-24,11.3,15.2,9.1,12.8,11.6,10.1,11.3,12.4,11.9,10.8,14,14.6,14.7,11.4,13.8,12,11.4,10.9,10.4,9.9,12.9,12.9
Associate Professionals & Technicians,20-24,17.2,17.3,18.8,19.9,19.6,19.8,20.7,23,16.8,15,16.4,16,15,15.3,15.4,14,14.8,14,13.8,12,14.6,15.6
Clerical Support Workers,20-24,8.3,14.2,13.8,14.3,17.7,16.9,19.2,21.3,22.1,22,23.3,22.8,20.6,17.8,19.8,19.6,16.5,18.9,17.1,18.6,20.2,19.5
Service & Sales Workers,20-24,7.6,9.9,10.5,11.7,12.7,12.3,14.3,13.3,13.4,12.6,14,13.4,12.2,10.1,11.4,11,11.3,10.5,10.7,8.8,9.8,7.7
Craftsmen & Related Trade Workers,20-24,0.6,0.6,0.5,0.7,0.4,0.5,0.5,0.6,0.4,0.4,0.2,0.2,0.4,0.,0.2,0.4,0.2,0.1,0.2,0.4,0.2,0.3
Plant & Machine Operators & Assemblers,20-24,0.1,0.5,0.4,0.1,0.5,0.3,0.1,0.,0.6,0.3,0.5,0.4,0.5,0.4,0.5,0.5,1.1,1.2,1.1,1.1,1,1.5
"Cleaners, Labourers & Related Workers",20-24,1.5,2.2,1.8,1.9,1.5,1.1,1.5,1.1,1.7,0.7,1.5,1.6,1.1,1.2,0.9,0.9,0.5,0.5,0.8,0.5,0.5,0.6
Others,20-24,0.4,0.1,0.2,0.4,0.4,0.1,0.3,0.1,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.6
Managers & Administrators (Including Working Proprietors),25-29,6.3,6,4.4,4,5,4.4,4.2,5.6,6.4,6.7,7.6,9.9,10.6,7.8,7.7,8.8,5.6,5.8,7.5,6.7,7.4,7.9
Professionals,25-29,41.6,46.3,43.2,43.1,38.1,39.5,41.7,36.9,35.5,33.6,34.2,34.6,37.6,35.3,33.7,31.8,32.8,26.5,30.3,26.7,27.3,26.4
Associate Professionals & Technicians,25-29,28.7,37.8,42.6,37,38,38.5,39.9,33.7,32,26.5,24.4,25.9,21.9,26.7,26.3,26.1,25.5,25.4,24.8,24.6,24.5,23.6
Clerical Support Workers,25-29,10.3,12.1,15.1,14.5,17.5,15.8,17.4,17.7,18.1,22,21.1,19.4,20,19.8,20.5,21.5,21.5,26,25.2,28.1,31.4,29.8
Service & Sales Workers,25-29,8.5,10,11.7,9.4,11.1,9.3,10.3,10.2,9.3,10.9,9.8,10,10.7,9.6,9.3,9.7,11.7,8.9,8.4,8.5,8.5,9.5
Craftsmen & Related Trade Workers,25-29,0.4,0.5,0.6,0.6,0.3,0.5,0.5,0.4,0.4,0.2,0.6,0.2,0.2,0.3,0.1,0.4,0.4,0.4,0.3,0.4,0.5,0.7
Plant & Machine Operators & Assemblers,25-29,0.4,0.2,0.5,0.5,0.4,0.5,0.2,0.2,0.3,0.7,0.5,0.7,0.9,0.9,1,1.9,2.2,2.2,2.5,2.8,3.7,3.9
"Cleaners, Labourers & Related Workers",25-29,0.9,1.3,1.4,1.4,1.8,1.2,2,1.2,0.8,1.6,0.9,1,1.2,1.1,0.9,1.1,0.8,1,1.3,1.2,1.2,1.1
Others,25-29,0.4,0.3,0.3,0.5,0.7,0.2,0.2,0.4,0.2,0.2,0.1,0.2,0.5,0.,0.4,0.5,0.5,0.7,0.3,0.3,0.3,0.4
Managers & Administrators (Including Working Proprietors),30-34,19.6,18.2,14.5,15.5,12.9,12.8,15.8,16,15.5,17.6,18.5,19.5,20.1,17.1,18.1,14.9,12.9,12.8,12.5,12.6,12.5,11.7
Professionals,30-34,54.8,60.9,49.8,42.5,39.4,43.9,41.6,39.5,38.7,37.7,37.4,36.7,36.1,35,32.4,30,27.9,22.7,24,23.5,21.2,18.5
Associate Professionals & Technicians,30-34,35.8,37.5,34.4,35,33.9,32.1,31,27.1,31.1,25,24.9,24.6,22.6,24.5,26.6,26.7,24.5,24.2,21.4,21.1,19.1,18.7
Clerical Support Workers,30-34,13.7,18.1,13.8,16.7,14.6,18,16.7,20.3,19.8,23,22.1,22.1,24.6,21.9,21.8,25.5,26.9,27.4,30.6,29.5,29.1,28.2
Service & Sales Workers,30-34,10,10.1,10.4,10.6,11.2,9.2,9.9,10.1,10.8,12,11.1,11,11.2,9.6,10.9,8.8,12.2,11,9.9,9.5,10.6,9.8
Craftsmen & Related Trade Workers,30-34,0.2,0.6,0.3,0.5,0.4,0.2,0.3,0.7,0.3,0.3,0.2,0.3,0.4,0.6,0.5,0.6,0.9,0.9,0.9,0.6,1,1
Plant & Machine Operators & Assemblers,30-34,0.8,1.2,0.7,0.5,0.2,0.6,0.4,0.8,0.8,0.6,1.1,1.1,1.5,2,2.2,3.1,4.4,4.7,5.8,5.1,6,6.1
"Cleaners, Labourers & Related Workers",30-34,0.8,1.7,1.7,1.6,1.8,2.3,1.9,1.6,1.7,2,1.9,1.9,1.7,2.1,1.5,1.5,1.2,1.7,1.9,2,2.1,2
Others,30-34,0.2,0.2,0.2,0.2,0.3,0.1,0.1,0.3,0.3,0.1,0.3,0.2,0.2,0.2,0.3,0.1,0.3,0.3,0.3,0.,0.3,0.3
Managers & Administrators (Including Working Proprietors),35-39,26.5,23.8,25.9,24.4,21.9,21.4,21.5,21.6,21.7,23.1,23,25,24.8,19.7,19.5,17.1,14.6,13.8,12.6,13.2,12.4,12.4
Professionals,35-39,47.9,46.2,40.6,39.8,37.3,37.5,34.1,35.7,28,30.5,29.5,28.7,29.1,27.7,25.2,21.7,17.4,15.5,15.2,16.2,14.4,11.8
Associate Professionals & Technicians,35-39,30.4,31.3,30.3,30.5,32.2,30.7,27.7,29.3,29.5,25.9,23.4,24.2,20,26.3,23.6,20,18,18.1,17.2,15.9,16.3,15.2
Clerical Support Workers,35-39,15.2,16,14.7,17,19.6,20.2,18.6,21.9,20.7,22.3,24.8,23.9,26.5,26.4,26.3,24.3,27.3,28.3,28.2,26.5,27.7,25.3
Service & Sales Workers,35-39,11.7,11.4,13.3,12.5,11.5,13.5,11.6,12.3,11.5,12.5,13.8,11.6,13.4,11.9,12.1,10.8,14.6,9.9,11.9,11.7,13.4,10.7
Craftsmen & Related Trade Workers,35-39,0.5,0.6,0.3,0.6,1,0.5,0.6,0.6,0.4,0.2,1,0.6,0.8,1.1,1.2,0.7,1,1,0.9,1.2,0.9,1.6
Plant & Machine Operators & Assemblers,35-39,0.4,0.8,1.2,1.1,1.2,1.2,1.4,1.4,1.2,1.9,2.5,2.5,3.2,4,3.5,4.6,6.3,6.4,6.9,6.4,7.1,8.4
"Cleaners, Labourers & Related Workers",35-39,2.8,2.4,2.5,2.5,3.3,4.1,3.2,3.8,3.4,2.5,3.1,3.4,3.7,3.6,3.4,4.1,3,4.1,4.2,4.1,5.4,3.8
Others,35-39,0.2,0.1,0.3,0.1,0.6,0.2,0.2,0.4,0.3,0.1,0.,0.1,0.2,0.1,0.2,0.2,0.2,0.,0.2,0.2,0.1,0.3
Managers & Administrators (Including Working Proprietors),40-44,34.2,27.5,27,24.6,26.3,25.3,23.7,24.9,24.1,23.9,22.8,21.9,20.5,18.3,16.5,15.8,13.3,13.5,11,11,10.6,10.7
Professionals,40-44,42.5,39.4,35.1,31.7,31.6,28,27.8,26.4,22.9,22.9,21.4,19.6,18,14.9,15.1,15.3,11.8,11.8,10.8,9.9,10.5,8.4
Associate Professionals & Technicians,40-44,33.9,29.1,25.3,29.2,26.9,25.5,25.7,24.6,25,21.2,21.8,21.3,17.9,19.8,19.4,16.9,13.8,13.4,14.4,12.4,12.1,11.8
Clerical Support Workers,40-44,16.7,16.3,17.4,20.5,20.8,24.5,22.7,25.5,24.9,27.8,26.9,25.9,24.8,25.7,27.8,25.6,25.8,25.8,25.9,25.8,26.8,22.3
Service & Sales Workers,40-44,14,11.7,12,15.4,13.7,14.2,14.6,14.5,13.8,13.2,14.6,13.7,14.6,14.3,15.4,15.6,17.5,15.8,12.8,14.3,14.3,12.8
Craftsmen & Related Trade Workers,40-44,0.8,0.7,0.6,0.6,0.5,1,0.9,1,0.7,1,1,0.7,1.1,1.4,1,1.7,2,1.4,1.8,2,1.7,2
Plant & Machine Operators & Assemblers,40-44,0.7,1.3,1.1,1.3,2,2,2.5,2.3,2.4,3.1,3.5,4.1,4.2,4.8,5.2,6,7.6,7.3,8.4,9.3,9.2,10.2
"Cleaners, Labourers & Related Workers",40-44,3.3,3.5,3.7,4,5.1,4.4,6.3,5.6,5.5,5.8,5.9,5.9,7,6.9,7.8,7.7,5.1,7.8,7.6,7.3,8.3,6.7
Others,40-44,0.2,0.3,0.1,0.1,0.3,0.3,0.3,0.,0.2,0.,0.1,0.2,0.2,0.1,0.,0.2,0.3,0.3,0.1,0.,0.1,0.4
Managers & Administrators (Including Working Proprietors),45-49,27.7,24.4,24.9,25.6,23.1,21.4,19.4,19.7,17.4,18.3,18.5,19.4,17.1,13.8,14.8,11.9,9.7,10.1,9.4,8.7,7.6,7.2
Professionals,45-49,36.4,27.6,28.1,24.9,22.2,22.3,19.4,17.1,16.9,15.5,13.9,13.6,13.4,10.4,12.1,11.3,7.7,8.6,8.2,6,6.4,4.9
Associate Professionals & Technicians,45-49,31.3,23.3,23.7,27,24.6,24.8,22.1,20.3,20.2,18.7,17.1,16.3,15.8,17.6,15,15.1,10.8,11.6,9.4,9.4,10.5,7.8
Clerical Support Workers,45-49,22,20.3,18.8,23.1,22.1,24.8,24.3,25.7,25.1,27.3,28.4,25.2,27.1,25.9,24.1,25.9,23.2,21.5,19,21.1,17.4,15.5
Service & Sales Workers,45-49,16.8,12.7,15.5,16.5,18.3,17.5,18.7,17.4,16.1,18.4,20.4,18.2,16.9,16.1,16.8,16.8,17.8,14,13.1,13.2,15.1,12
Craftsmen & Related Trade Workers,45-49,0.6,1.4,0.9,1.2,1,1.3,0.8,1.3,0.5,1.2,1,1.1,1.5,1.7,2.3,2.2,1.6,1.1,1.6,1.8,1.5,1.8
Plant & Machine Operators & Assemblers,45-49,1.9,1.9,2.6,2.9,3,2.7,2.9,2.7,3.6,4.2,4.7,5.8,4.8,5.1,5.8,6.2,7.6,8.7,9,9.2,9.1,9.8
"Cleaners, Labourers & Related Workers",45-49,5.9,5.6,6,7.1,7.8,7.2,8.3,9.3,10.1,8.9,10.6,11.3,12.5,12.3,12.6,13.4,8.9,11.9,11.4,10.5,9.9,9.7
Others,45-49,0.4,0.1,0.1,0.3,0.2,0.3,0.,0.2,0.,0.1,0.1,0.3,0.2,0.2,0.2,0.2,0.4,0.1,0.2,0.1,0.2,0.1
Managers & Administrators (Including Working Proprietors),50-54,20.6,18,17.8,15.7,15.8,14.7,15.2,14.8,16,14.9,14.5,13.5,12.5,9.6,9.9,8.6,6.3,5.6,5.9,4.9,4.1,4.2
Professionals,50-54,23.1,17.7,16.9,16.2,13.8,12.9,13.3,11.4,12,12.4,9.6,8.6,9.4,7.7,7.9,7.6,4.8,4.5,5.3,5.4,5.2,4.1
Associate Professionals & Technicians,50-54,24.3,19.5,20.2,19.4,18.5,17.4,17.8,16.5,14.9,15,12.7,12.7,11.6,12.7,10.2,10,7.2,5.3,4.8,5.8,5.2,4.5
Clerical Support Workers,50-54,19.6,17.7,19.7,24.6,25.2,24.4,25.4,27.6,26.7,25.2,24.9,23.9,21.2,22.5,20,17.8,14.1,14.1,13.4,10.3,10.2,7.8
Service & Sales Workers,50-54,13.7,14.4,18.1,20.5,20.4,18.3,19.5,19.1,18.6,17.3,18.7,18.3,17.7,14.8,15.1,15.3,15.1,12.1,12.4,10.6,10.5,8.9
Craftsmen & Related Trade Workers,50-54,1.2,1.1,1.1,0.7,1.6,1.1,1.5,1.6,1.3,1.3,1.4,1.6,1.6,1.9,2,1.5,1.5,1.9,1.5,1.5,1.2,1.2
Plant & Machine Operators & Assemblers,50-54,2.2,2.8,2.1,2.1,3.5,2.6,3.8,4,4.8,4.6,4.9,4.9,6.2,5.4,6.5,6.3,5.8,6.8,7.1,6.5,5.7,4.8
"Cleaners, Labourers & Related Workers",50-54,9.3,7.8,9.8,10.2,11.7,13.4,14.1,14.3,17.2,14.4,13.7,16,15.2,14.9,15.9,14.8,10.3,11.8,11.9,11.6,12.4,9.9
Others,50-54,0.1,0.2,0.1,0.2,0.2,0.2,0.3,0.3,0.2,0.1,0.,0.2,0.1,0.1,0.,0.1,0.1,0.,0.,0.,0.1,0.1
Managers & Administrators (Including Working Proprietors),55-59,15.1,11,12,12.3,9,8.8,9.2,10.1,9.3,8.3,7.6,7.8,7.8,6.5,4.7,4,3.1,2.7,2,1.8,1,1.1
Professionals,55-59,13.7,12.1,11,11.4,10.3,8.3,8.5,9.1,6.4,7.9,6.3,5.1,5.8,4.1,4.3,4.8,2.8,3.9,3.8,3,2.8,1.9
Associate Professionals & Technicians,55-59,17.9,14.9,14.3,13.9,14.9,12.4,12.6,10.3,10.9,10.6,8.5,8,5.8,4.6,4.9,5.1,3.3,3,2.5,2,1.6,1.5
Clerical Support Workers,55-59,21.3,21.4,20.7,22,18.9,20.6,19.7,21.6,23.6,19.9,17.4,16.6,13.8,10.9,9.4,9.6,6.7,6.1,5.5,4.3,2.5,2
Service & Sales Workers,55-59,16,16.8,18.9,18,16.4,16,18.4,15.6,16.2,13.6,13.6,13.8,12.8,9.7,9.8,9.1,9,7.5,4.8,6.1,5.1,3.9
Craftsmen & Related Trade Workers,55-59,1.2,1.2,1.4,1.7,1.1,1.4,2,1.9,1.5,1.4,1.2,1.3,1,1.4,1.2,1.4,1,0.8,0.7,0.7,0.7,0.5
Plant & Machine Operators & Assemblers,55-59,1.9,3,2.8,3,2.7,2.8,3.4,3,2.9,3.4,3.7,3.9,3.2,3.5,4.1,2.8,2.5,2.9,2,2.5,1.9,1.6
"Cleaners, Labourers & Related Workers",55-59,12.3,13.2,15,16.4,15.5,14.4,17.9,18.2,18.6,15.6,15.7,15.7,15.5,13.6,14.1,13.8,9.3,9.9,8.6,8.2,7.2,6
Others,55-59,0.2,0.1,0.1,0.2,0.2,0.3,0.2,0.1,0.2,0.1,0.,0.,0.1,0.,0.,0.,0.1,0.,0.,0.,0.,0.
Managers & Administrators (Including Working Proprietors),60-64,7.7,9,6.6,6.7,5,5.5,4.6,4.7,4.3,4.5,4.1,3,3,2,2,1.7,0.8,1,0.7,0.8,0.9,0.6
Professionals,60-64,7.2,7.2,6,5.2,5.7,4,4.2,3.7,3.5,2.8,2.9,2.3,2.6,2.3,1.3,1.7,0.5,0.7,0.9,0.9,0.6,0.4
Associate Professionals & Technicians,60-64,11.9,11.8,9.3,6.9,8.5,6,6.6,5.3,5.2,3.6,3.3,3,2.8,2.1,2.4,1.8,1.1,0.5,0.8,0.6,0.6,0.6
Clerical Support Workers,60-64,18.3,18.3,16.8,15.1,13.8,13.7,11.8,13.2,12,10.4,7.4,7.3,6.3,4.4,4.2,2.4,1,0.7,1.2,1,0.9,0.5
Service & Sales Workers,60-64,14.2,15.8,16.4,13.5,14.3,13.7,13.5,11.4,11.3,9.8,9.4,8.3,6.5,6.4,5.1,3.5,2.9,2.6,2.6,2.4,2.5,1.9
Craftsmen & Related Trade Workers,60-64,1.6,1.5,1.1,0.8,1.4,1.4,1.3,0.8,0.7,0.7,1,0.9,0.6,0.7,0.8,0.7,0.3,0.1,0.2,0.2,0.3,0.2
Plant & Machine Operators & Assemblers,60-64,2.6,1.3,1.6,1.7,2.4,1.4,2.3,1.9,1.9,2.1,1.6,1.7,1.3,1.3,1.4,1.2,0.8,0.6,0.7,0.8,0.4,0.5
"Cleaners, Labourers & Related Workers",60-64,17.9,16.4,14.4,14.9,16.9,19,17.5,16.8,15.2,15.3,14.5,12.4,10.9,10.4,8.5,8,4.8,5.5,5.5,5.4,5.4,4.2
Others,60-64,0.1,0.2,0.2,0.1,0.2,0.1,0.,0.,0.,0.,0.,0.,0.2,0.,0.,0.,0.,0.1,0.,0.,0.,0.
Managers & Administrators (Including Working Proprietors),65+,5.8,5.4,3.2,4.4,2.9,3.1,3.1,2.3,2.9,2.5,2,2,1.6,0.9,0.9,0.9,0.6,0.8,0.6,0.3,0.4,0.5
Professionals,65+,4.9,4.4,3.8,3.7,3.1,2.2,2.8,2.5,2,1.9,1.4,1.3,1,1,0.8,0.6,0.3,0.4,0.2,0.2,0.3,0.1
Associate Professionals & Technicians,65+,7.7,7,6.4,4.8,4.1,3.4,3,2.4,2.3,1.4,1.7,1.4,1,0.8,0.7,0.4,0.5,0.2,0.4,0.1,0.1,0.1
Clerical Support Workers,65+,14.6,13,10.8,9.7,7.2,7.3,5.9,5.1,5.7,3.5,3.5,1.6,1.1,1.1,0.8,0.8,0.4,0.4,0.2,0.4,0.2,0.1
Service & Sales Workers,65+,16.4,15.5,14.3,12.2,11.6,10.4,9.1,8,7.9,7,6,4.1,3.6,3.4,3.2,3.1,2,1.8,1.4,1.6,2.2,1.5
Craftsmen & Related Trade Workers,65+,1.8,1.6,1.6,1.5,1,0.9,0.8,0.8,0.6,0.7,1,0.6,0.8,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.1
Plant & Machine Operators & Assemblers,65+,2,1.5,1.5,1.3,1.3,1.3,1.5,0.9,0.8,0.8,0.7,0.5,0.5,0.5,0.7,0.7,0.3,0.1,0.3,0.2,0.1,0.2
"Cleaners, Labourers & Related Workers",65+,30,29.2,27,23.9,24.1,24.5,21.6,21.8,18.9,15.4,12.3,12.8,9.5,9.3,8.6,7.4,3.8,4.1,4.4,3.6,3.2,2.8
Others,65+,0.3,0.3,0.1,0.2,0.2,0.1,0.,0.1,0.,0.1,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.,0.1,0.