Type,"Total Unemployment Rate, (SA)","Resident Unemployment Rate, (SA)"
2023,1.9,2.7
2022,2.1,2.8
2021,2.7,3.6
2020,2.9,4
2019,2.3,3.2
2018,2.1,2.9
2017,2.2,3.1
2016,2.1,3
2015,2,2.8
2014,1.9,2.8
2013,2,2.9
2012,1.9,2.8
2011,2,2.9
2010,2.2,3.1
2009,3.2,4.5
2008,2.2,3
2007,2.3,3.1
2006,2.7,3.5
2005,3.3,4.4
2004,3.6,4.7
2003,3.6,4.7
2002,3.4,4.5
2001,2.2,3
2000,3.4,4.6
1999,2.7,3.7
1998,1.9,2.5
1997,1.4,1.8
1996,1.8,2.2
1995,1.9,2.3
1994,1.6,2
1993,1.8,2.1
1992,1.8,2.1